itinerary,leg_pos,row_number,record_serial,carrier,flight_number,operational_suffix,itinerary_var_id,itinerary_var_overflow,leg_sequence_number,service_type,operating_carrier,operating_flight_number,departure_station,arrival_station
761,2,96771,699741,UA,2354, ,14, ,2,J,UA,2354,MCO,EWR
761,3,1420,9523,UA,146, ,5, ,1,J,UA,146,EWR,LHR
762,1,5458,37716,UA,307, ,12, ,2,J,UA,307,ORD,DCA
762,2,189955,291460,UA,8551, ,5, ,1,J,AC,8787,DCA,YYZ
762,3,188087,281357,UA,8412, ,5, ,1,J,AC,858,YYZ,LHR
763,1,72899,524289,UA,1914, ,4, ,1,J,UA,1914,ORD,RSW
763,2,17715,127616,UA,560, ,19, ,1,J,UA,560,RSW,EWR
763,3,132,906,UA,14, ,2, ,1,J,UA,14,EWR,LHR
764,1,72899,524289,UA,1914, ,4, ,1,J,UA,1914,ORD,RSW
764,2,62004,445020,UA,1705, ,15, ,1,J,UA,1705,RSW,EWR
764,3,132,906,UA,14, ,2, ,1,J,UA,14,EWR,LHR
765,1,72899,524289,UA,1914, ,4, ,1,J,UA,1914,ORD,RSW
765,2,103526,749188,UA,2477, ,8, ,1,J,UA,2477,RSW,EWR
765,3,132,906,UA,14, ,2, ,1,J,UA,14,EWR,LHR
766,1,93224,673576,UA,2287, ,9, ,1,J,UA,2287,ORD,LGA
766,2,185282,266117,UA,8233, ,8, ,1,J,AC,8545,LGA,YYZ
766,3,188087,281357,UA,8412, ,5, ,1,J,AC,858,YYZ,LHR
767,1,93224,673576,UA,2287, ,9, ,1,J,UA,2287,ORD,LGA
767,2,185349,266505,UA,8235, ,4, ,1,J,AC,8995,LGA,YYZ
767,3,188087,281357,UA,8412, ,5, ,1,J,AC,858,YYZ,LHR
768,1,93224,673576,UA,2287, ,9, ,1,J,UA,2287,ORD,LGA
768,2,187870,280188,UA,8403, ,6, ,1,J,AC,715,LGA,YYZ
768,3,188087,281357,UA,8412, ,5, ,1,J,AC,858,YYZ,LHR
769,1,17494,126101,UA,554, ,13, ,1,J,UA,554,ORD,ATL
769,2,193879,310095,UA,8830, ,2, ,1,J,LH,445,ATL,FRA
769,3,194132,311107,UA,8856, ,1, ,1,J,LH,902,FRA,LHR
770,1,17494,126101,UA,554, ,13, ,1,J,UA,554,ORD,ATL
770,2,193879,310095,UA,8830, ,2, ,1,J,LH,445,ATL,FRA
770,3,272962,47385,LH,902, ,1, ,1,J,LH,902,FRA,LHR
771,1,33567,240638,UA,1077, ,9, ,1,J,UA,1077,ORD,DCA
771,2,128265,931736,UA,4413, ,12, ,1,J,UA,4413,DCA,EWR
771,3,132,906,UA,14, ,2, ,1,J,UA,14,EWR,LHR
772,1,33567,240638,UA,1077, ,9, ,1,J,UA,1077,ORD,DCA
772,2,128942,936379,UA,4442, ,13, ,1,J,UA,4442,DCA,EWR
772,3,132,906,UA,14, ,2, ,1,J,UA,14,EWR,LHR
773,1,33567,240638,UA,1077, ,9, ,1,J,UA,1077,ORD,DCA
773,2,129092,937406,UA,4446, ,12, ,1,J,UA,4446,DCA,EWR
773,3,132,906,UA,14, ,2, ,1,J,UA,14,EWR,LHR
774,1,33567,240638,UA,1077, ,9, ,1,J,UA,1077,ORD,DCA
774,2,131288,952456,UA,4560, ,10, ,1,J,UA,4560,DCA,EWR
774,3,132,906,UA,14, ,2, ,1,J,UA,14,EWR,LHR
775,1,52443,376292,UA,1502, ,18, ,2,J,UA,1502,ORD,IAD
775,2,30617,220620,UA,942, ,1, ,1,J,UA,942,IAD,LIS
775,3,163145,174927,UA,6864, ,6, ,1,J,TP,1368,LIS,LHR
776,1,59949,430230,UA,1658, ,6, ,1,J,UA,1658,ORD,EWR
776,2,114566,831113,UA,3400, ,4, ,1,J,UA,3400,EWR,YYZ
776,3,185978,269921,UA,8268, ,1, ,1,J,AC,856,YYZ,LHR
777,1,59949,430230,UA,1658, ,6, ,1,J,UA,1658,ORD,EWR
