itinerary,leg_pos,row_number,record_serial,carrier,flight_number,operational_suffix,itinerary_var_id,itinerary_var_overflow,leg_sequence_number,service_type,operating_carrier,operating_flight_number,departure_station,arrival_station
657,1,86830,626446,UA,2182, ,6, ,1,J,UA,2182,IAH,ORD
657,2,84418,608577,UA,2137, ,14, ,2,J,UA,2137,ORD,ORF
657,3,130668,948205,UA,4526, ,10, ,1,J,UA,4526,ORF,EWR
658,1,54899,394054,UA,1549, ,12, ,1,J,UA,1549,IAH,IAD
658,2,132012,957422,UA,4595, ,2, ,1,J,UA,4595,IAD,ORF
658,3,130668,948205,UA,4526, ,10, ,1,J,UA,4526,ORF,EWR
659,1,54899,394054,UA,1549, ,12, ,1,J,UA,1549,IAH,IAD
659,2,157209,150928,UA,6313, ,1, ,1,J,UA,6313,IAD,ORF
659,3,130668,948205,UA,4526, ,10, ,1,J,UA,4526,ORF,EWR
660,1,124074,903462,UA,4066, ,2, ,1,J,UA,4066,IAH,COS
660,2,4370,29947,UA,281, ,7, ,1,J,UA,281,COS,DEN
660,3,106147,768772,UA,2613, ,4, ,1,J,UA,2613,DEN,EWR
661,1,124074,903462,UA,4066, ,2, ,1,J,UA,4066,IAH,COS
661,2,6034,41745,UA,324, ,9, ,1,J,UA,324,COS,DEN
661,3,106147,768772,UA,2613, ,4, ,1,J,UA,2613,DEN,EWR
662,1,91409,660098,UA,2261, ,3, ,1,J,UA,2261,IAH,FLL
662,2,97794,707244,UA,2378, ,7, ,1,J,UA,2378,FLL,CLE
662,3,114639,831646,UA,3404, ,7, ,1,J,UA,3404,CLE,EWR
663,1,86830,626446,UA,2182, ,6, ,1,J,UA,2182,IAH,ORD
663,2,71631,515162,UA,1892, ,18, ,2,J,UA,1892,ORD,CLE
663,3,114639,831646,UA,3404, ,7, ,1,J,UA,3404,CLE,EWR
664,1,86830,626446,UA,2182, ,6, ,1,J,UA,2182,IAH,ORD
664,2,98475,712194,UA,2389, ,5, ,2,J,UA,2389,ORD,CLE
664,3,114639,831646,UA,3404, ,7, ,1,J,UA,3404,CLE,EWR
665,1,86830,626446,UA,2182, ,6, ,1,J,UA,2182,IAH,ORD
665,2,121397,884475,UA,3678, ,2, ,1,J,UA,3678,ORD,CLE
665,3,114639,831646,UA,3404, ,7, ,1,J,UA,3404,CLE,EWR
666,1,86830,626446,UA,2182, ,6, ,1,J,UA,2182,IAH,ORD
666,2,121788,887553,UA,3696, ,8, ,1,J,UA,3696,ORD,CVG
666,3,129418,939615,UA,4462, ,7, ,1,J,UA,4462,CVG,EWR
667,1,86830,626446,UA,2182, ,6, ,1,J,UA,2182,IAH,ORD
