itinerary,leg_pos,row_number,record_serial,carrier,flight_number,operational_suffix,itinerary_var_id,itinerary_var_overflow,leg_sequence_number,service_type,operating_carrier,operating_flight_number,departure_station,arrival_station
1212,1,60786,436105,UA,1681, ,11, ,1,J,UA,1681,ORD,SAV
1212,2,155639,140319,UA,6165, ,3, ,1,J,UA,6165,SAV,IAD
1212,3,8305,59184,UA,367, ,12, ,1,J,UA,367,IAD,SFO
1213,1,149794,95094,UA,5726, ,4, ,1,J,UA,5726,ORD,TYS
1213,2,141352,27927,UA,5308, ,3, ,1,J,UA,5308,TYS,DEN
1213,3,39005,278850,UA,1224, ,7, ,1,J,UA,1224,DEN,SFO
1214,1,95087,687158,UA,2326, ,7, ,1,J,UA,2326,ORD,TPA
1214,2,21787,157267,UA,645, ,5, ,1,J,UA,645,TPA,DEN
1214,3,39005,278850,UA,1224, ,7, ,1,J,UA,1224,DEN,SFO
1215,1,95087,687158,UA,2326, ,7, ,1,J,UA,2326,ORD,TPA
1215,2,72882,524181,UA,1913, ,2, ,1,J,UA,1913,TPA,DEN
1215,3,39005,278850,UA,1224, ,7, ,1,J,UA,1224,DEN,SFO
1216,1,130081,944142,UA,4496, ,4, ,1,J,UA,4496,ORD,YOW
1216,2,183820,258042,UA,8113, ,9, ,1,J,AC,451,YOW,YYZ
1216,3,188433,283284,UA,8433, ,8, ,1,J,AC,745,YYZ,SFO
1217,1,130081,944142,UA,4496, ,4, ,1,J,UA,4496,ORD,YOW
1217,2,186330,271860,UA,8291, ,4, ,1,J,AC,455,YOW,YYZ
1217,3,188433,283284,UA,8433, ,8, ,1,J,AC,745,YYZ,SFO
1218,1,71267,512729,UA,1879, ,3, ,1,J,UA,1879,ORD,SJD
1218,2,6664,46424,UA,338, ,1, ,1,J,UA,338,SJD,DEN
1218,3,83770,603542,UA,2123, ,8, ,2,J,UA,2123,DEN,SFO
1219,1,78754,566769,UA,2034, ,11, ,1,J,UA,2034,ORD,MSY
1219,2,104502,756278,UA,2497, ,14, ,1,J,UA,2497,MSY,IAD
1219,3,64893,466274,UA,1757, ,7, ,1,J,UA,1757,IAD,SFO
1220,1,59890,429833,UA,1656, ,1, ,1,J,UA,1656,ORD,CUN
1220,2,31857,229460,UA,1019, ,1, ,1,J,UA,1019,CUN,IAH
