itinerary,leg_pos,row_number,record_serial,carrier,flight_number,operational_suffix,itinerary_var_id,itinerary_var_overflow,leg_sequence_number,service_type,operating_carrier,operating_flight_number,departure_station,arrival_station
316,2,67161,483088,UA,1799, ,11, ,2,J,UA,1799,LAS,SFO
316,3,86510,623990,UA,2179, ,18, ,3,J,UA,2179,SFO,LAX
317,1,106655,772449,UA,2624, ,4, ,1,J,UA,2624,DEN,LAS
317,2,79373,571223,UA,2047, ,19, ,2,J,UA,2047,LAS,SFO
317,3,86510,623990,UA,2179, ,18, ,3,J,UA,2179,SFO,LAX
318,1,56807,407922,UA,1593, ,14, ,2,J,UA,1593,DEN,PHX
318,2,50112,359732,UA,1458, ,1, ,2,J,UA,1458,PHX,SFO
318,3,86510,623990,UA,2179, ,18, ,3,J,UA,2179,SFO,LAX
319,1,83770,603542,UA,2123, ,8, ,2,J,UA,2123,DEN,SFO
319,2,62414,447981,UA,1712, ,5, ,1,J,UA,1712,SFO,SAN
319,3,143009,41190,UA,5384, ,6, ,1,J,UA,5384,SAN,LAX
320,1,84984,612745,UA,2149, ,4, ,1,J,UA,2149,DEN,SMF
320,2,151754,110540,UA,5840, ,3, ,1,J,UA,5840,SMF,SFO
320,3,150984,104443,UA,5794, ,7, ,1,J,UA,5794,SFO,LAX
321,1,70378,506261,UA,1865, ,10, ,2,J,UA,1865,DEN,SEA
321,2,148930,88243,UA,5676, ,12, ,1,J,UA,5676,SEA,SFO
321,3,133210,966548,UA,4656, ,8, ,1,J,UA,4656,SFO,LAX
322,1,39927,285450,UA,1247, ,4, ,1,J,UA,1247,DEN,PDX
322,2,28227,204197,UA,776, ,9, ,1,J,UA,776,PDX,SFO
322,3,150984,104443,UA,5794, ,7, ,1,J,UA,5794,SFO,LAX
323,1,39927,285450,UA,1247, ,4, ,1,J,UA,1247,DEN,PDX
323,2,153000,120474,UA,5938, ,7, ,1,J,UA,5938,PDX,SFO
323,3,150984,104443,UA,5794, ,7, ,1,J,UA,5794,SFO,LAX
324,1,115,792,UA,9, ,2, ,2,J,UA,9,DEN,SFO
324,2,99134,717120,UA,2400, ,10, ,2,J,UA,2400,SFO,LAS
324,3,108816,788261,UA,2667, ,15, ,1,J,UA,2667,LAS,LAX
325,1,50831,364375,UA,1481, ,2, ,1,J,UA,1481,DEN,PHX
325,2,50112,359732,UA,1458, ,1, ,2,J,UA,1458,PHX,SFO
325,3,150984,104443,UA,5794, ,7, ,1,J,UA,5794,SFO,LAX
326,1,149099,89534,UA,5686, ,5, ,1,J,UA,5686,DEN,TUS
326,2,147004,72895,UA,5583, ,7, ,1,J,UA,5583,TUS,SFO
326,3,150984,104443,UA,5794, ,7, ,1,J,UA,5794,SFO,LAX
327,1,19578,141280,UA,593, ,14, ,1,J,UA,593,DEN,SAN
327,2,65213,468629,UA,1763, ,6, ,1,J,UA,1763,SAN,SFO
327,3,150984,104443,UA,5794, ,7, ,1,J,UA,5794,SFO,LAX
328,1,19578,141280,UA,593, ,14, ,1,J,UA,593,DEN,SAN
328,2,83293,600069,UA,2117, ,9, ,1,J,UA,2117,SAN,SFO
328,3,150984,104443,UA,5794, ,7, ,1,J,UA,5794,SFO,LAX
329,1,91853,663223,UA,2271, ,4, ,1,J,UA,2271,DEN,SEA
329,2,48873,351074,UA,1424, ,8, ,1,J,UA,1424,SEA,SFO
329,3,150984,104443,UA,5794, ,7, ,1,J,UA,5794,SFO,LAX
330,1,91853,663223,UA,2271, ,4, ,1,J,UA,2271,DEN,SEA
330,2,50898,364867,UA,1482, ,26, ,1,J,UA,1482,SEA,SFO
330,3,150984,104443,UA,5794, ,7, ,1,J,UA,5794,SFO,LAX
331,1,107024,775115,UA,2633, ,2, ,1,J,UA,2633,DEN,SFO
331,2,152615,117452,UA,5904, ,1, ,1,J,UA,5904,SFO,FAT
331,3,9886,70648,UA,398, ,10, ,1,J,UA,398,FAT,LAX
332,1,107024,775115,UA,2633, ,2, ,1,J,UA,2633,DEN,SFO
332,2,144341,51876,UA,5446, ,3, ,1,J,UA,5446,SFO,SBP
332,3,152528,116761,UA,5897, ,8, ,1,J,UA,5897,SBP,LAX
333,1,107024,775115,UA,2633, ,2, ,1,J,UA,2633,DEN,SFO
333,2,114406,829878,UA,2866, ,8, ,1,J,UA,2866,SFO,SBA
333,3,133034,965108,UA,4649, ,3, ,1,J,UA,4649,SBA,LAX
334,1,107024,775115,UA,2633, ,2, ,1,J,UA,2633,DEN,SFO
334,2,84666,610337,UA,2142, ,11, ,1,J,UA,2142,SFO,SAN
334,3,134418,975996,UA,4723, ,3, ,1,J,UA,4723,SAN,LAX
335,1,107024,775115,UA,2633, ,2, ,1,J,UA,2633,DEN,SFO
335,2,99134,717120,UA,2400, ,10, ,2,J,UA,2400,SFO,LAS
335,3,79006,568560,UA,2039, ,7, ,1,J,UA,2039,LAS,LAX
336,1,97291,703511,UA,2367, ,12, ,1,J,UA,2367,DEN,SFO
336,2,20385,147023,UA,611, ,16, ,2,J,UA,611,SFO,LAS
336,3,92803,670256,UA,2282, ,20, ,1,J,UA,2282,LAS,LAX
337,1,97291,703511,UA,2367, ,12, ,1,J,UA,2367,DEN,SFO
337,2,94996,686540,UA,2322, ,7, ,2,J,UA,2322,SFO,RNO
337,3,152663,117791,UA,5908, ,4, ,1,J,UA,5908,RNO,LAX
338,1,97291,703511,UA,2367, ,12, ,1,J,UA,2367,DEN,SFO
338,2,149477,92544,UA,5707, ,2, ,1,J,UA,5707,SFO,RNO
338,3,152663,117791,UA,5908, ,4, ,1,J,UA,5908,RNO,LAX
339,1,145168,58444,UA,5487, ,4, ,1,J,UA,5487,DEN,ABQ
339,2,132600,961611,UA,4628, ,5, ,1,J,UA,4628,ABQ,SFO
339,3,86510,623990,UA,2179, ,18, ,3,J,UA,2179,SFO,LAX
340,1,84984,612745,UA,2149, ,4, ,1,J,UA,2149,DEN,SMF
340,2,151754,110540,UA,5840, ,3, ,1,J,UA,5840,SMF,SFO
340,3,86510,623990,UA,2179, ,18, ,3,J,UA,2179,SFO,LAX
341,1,107024,775115,UA,2633, ,2, ,1,J,UA,2633,DEN,SFO
341,2,154317,130851,UA,6027, ,1, ,1,J,UA,6027,SFO,BOI
341,3,134581,977269,UA,4730, ,5, ,1,J,UA,4730,BOI,LAX
342,1,138476,5827,UA,5056, ,2, ,1,J,UA,5056,DEN,YQR
342,2,187294,277016,UA,8357, ,7, ,1,J,AC,8189,YQR,YVR
342,3,188515,283716,UA,8440, ,2, ,1,J,AC,552,YVR,LAX
343,1,39927,285450,UA,1247, ,4, ,1,J,UA,1247,DEN,PDX
343,2,28227,204197,UA,776, ,9, ,1,J,UA,776,PDX,SFO
343,3,86510,623990,UA,2179, ,18, ,3,J,UA,2179,SFO,LAX
344,1,39927,285450,UA,1247, ,4, ,1,J,UA,1247,DEN,PDX
344,2,153000,120474,UA,5938, ,7, ,1,J,UA,5938,PDX,SFO
344,3,86510,623990,UA,2179, ,18, ,3,J,UA,2179,SFO,LAX
345,1,50831,364375,UA,1481, ,2, ,1,J,UA,1481,DEN,PHX
345,2,50112,359732,UA,1458, ,1, ,2,J,UA,1458,PHX,SFO
345,3,86510,623990,UA,2179, ,18, ,3,J,UA,2179,SFO,LAX
346,1,149099,89534,UA,5686, ,5, ,1,J,UA,5686,DEN,TUS
346,2,147004,72895,UA,5583, ,7, ,1,J,UA,5583,TUS,SFO
346,3,86510,623990,UA,2179, ,18, ,3,J,UA,2179,SFO,LAX
347,1,19578,141280,UA,593, ,14, ,1,J,UA,593,DEN,SAN
347,2,83293,600069,UA,2117, ,9, ,1,J,UA,2117,SAN,SFO
347,3,86510,623990,UA,2179, ,18, ,3,J,UA,2179,SFO,LAX
348,1,91853,663223,UA,2271, ,4, ,1,J,UA,2271,DEN,SEA
348,2,48873,351074,UA,1424, ,8, ,1,J,UA,1424,SEA,SFO
348,3,86510,623990,UA,2179, ,18, ,3,J,UA,2179,SFO,LAX
349,1,107024,775115,UA,2633, ,2, ,1,J,UA,2633,DEN,SFO
349,2,64894,466282,UA,1757, ,7, ,2,J,UA,1757,SFO,RNO
349,3,147753,78949,UA,5621, ,2, ,1,J,UA,5621,RNO,LAX
350,1,107024,775115,UA,2633, ,2, ,1,J,UA,2633,DEN,SFO
350,2,99134,717120,UA,2400, ,10, ,2,J,UA,2400,SFO,LAS
350,3,108816,788261,UA,2667, ,15, ,1,J,UA,2667,LAS,LAX
