itinerary,leg_pos,row_number,record_serial,carrier,flight_number,operational_suffix,itinerary_var_id,itinerary_var_overflow,leg_sequence_number,service_type,operating_carrier,operating_flight_number,departure_station,arrival_station
110,3,115513,838645,UA,3434, ,2, ,1,J,UA,3434,EWR,YYZ
111,1,122881,895221,UA,4000, ,11, ,1,J,UA,4000,LFT,IAH
111,2,58060,416956,UA,1617, ,8, ,1,J,UA,1617,IAH,ORD
111,3,119660,870910,UA,3612, ,5, ,1,J,UA,3612,ORD,YYZ
112,1,122881,895221,UA,4000, ,11, ,1,J,UA,4000,LFT,IAH
112,2,83830,603991,UA,2124, ,7, ,1,J,UA,2124,IAH,ORD
112,3,119660,870910,UA,3612, ,5, ,1,J,UA,3612,ORD,YYZ
113,1,122881,895221,UA,4000, ,11, ,1,J,UA,4000,LFT,IAH
113,2,86830,626446,UA,2182, ,6, ,1,J,UA,2182,IAH,ORD
113,3,119660,870910,UA,3612, ,5, ,1,J,UA,3612,ORD,YYZ
114,1,122881,895221,UA,4000, ,11, ,1,J,UA,4000,LFT,IAH
114,2,99879,722538,UA,2417, ,15, ,1,J,UA,2417,IAH,ORD
114,3,119660,870910,UA,3612, ,5, ,1,J,UA,3612,ORD,YYZ
115,1,123683,900768,UA,4041, ,5, ,1,J,UA,4041,LFT,IAH
115,2,23325,168568,UA,678, ,6, ,2,J,UA,678,IAH,LGA
115,3,182333,250013,UA,8024, ,12, ,1,J,AC,8997,LGA,YYZ
116,1,123683,900768,UA,4041, ,5, ,1,J,UA,4041,LFT,IAH
116,2,154955,135678,UA,6120, ,2, ,1,J,UA,6120,IAH,LGA
116,3,182333,250013,UA,8024, ,12, ,1,J,AC,8997,LGA,YYZ
117,1,123683,900768,UA,4041, ,5, ,1,J,UA,4041,LFT,IAH
117,2,155841,141720,UA,6180, ,3, ,1,J,UA,6180,IAH,LGA
117,3,182333,250013,UA,8024, ,12, ,1,J,AC,8997,LGA,YYZ
118,1,122881,895221,UA,4000, ,11, ,1,J,UA,4000,LFT,IAH
118,2,54230,389142,UA,1536, ,8, ,1,J,UA,1536,IAH,CVG
118,3,190523,294491,UA,8598, ,5, ,1,J,AC,8708,CVG,YYZ
119,1,122881,895221,UA,4000, ,11, ,1,J,UA,4000,LFT,IAH
119,2,157198,150852,UA,6312, ,2, ,1,J,UA,6312,IAH,CVG
119,3,190523,294491,UA,8598, ,5, ,1,J,AC,8708,CVG,YYZ
120,1,122881,895221,UA,4000, ,11, ,1,J,UA,4000,LFT,IAH
120,2,15453,111420,UA,512, ,10, ,2,J,UA,512,IAH,DCA
120,3,189955,291460,UA,8551, ,5, ,1,J,AC,8787,DCA,YYZ
121,1,122881,895221,UA,4000, ,11, ,1,J,UA,4000,LFT,IAH
121,2,22127,159657,UA,654, ,12, ,2,J,UA,654,IAH,DCA
121,3,189955,291460,UA,8551, ,5, ,1,J,AC,8787,DCA,YYZ
122,1,122881,895221,UA,4000, ,11, ,1,J,UA,4000,LFT,IAH
122,2,94502,683025,UA,2311, ,15, ,1,J,UA,2311,IAH,DCA
122,3,189955,291460,UA,8551, ,5, ,1,J,AC,8787,DCA,YYZ
